C,Gamma,Accuracy,Recall,Specificity,Precision,F1-Score,AUC
96.09812947036423,0.0005416754583247456,0.7516025641025641,0.9871794871794872,0.358974358974359,0.719626168224299,0.8324324324324325,0.9114288845058076
79.15074397656232,0.024400607090817546,0.7644230769230769,0.9794871794871794,0.405982905982906,0.7332053742802304,0.8386388583973655,0.8944444444444445
1.6949768237884748,0.0002511306167739,0.625,1.0,0.0,0.625,0.7692307692307693,0.8878698224852072
1.9780827689353788,0.0021618942406574446,0.7291666666666666,0.982051282051282,0.3076923076923077,0.7027522935779816,0.8192513368983957,0.8964387464387464
0.051800516442430215,0.04013783023846255,0.6907051282051282,0.9948717948717949,0.18376068376068377,0.6701208981001727,0.8008255933952528,0.8928884505807584
0.01914511128571072,0.07726718477963435,0.6282051282051282,1.0,0.008547008547008548,0.6270096463022508,0.7707509881422925,0.8926309445540215
492.9053648241689,0.00010071984838809192,0.7532051282051282,0.9871794871794872,0.36324786324786323,0.7209737827715356,0.8333333333333334,0.9119110234494849
914.2349009056949,0.029507066707905337,0.7564102564102564,0.9794871794871794,0.38461538461538464,0.7262357414448669,0.834061135371179,0.8960223537146614
11.435780278433413,0.00010672476836323717,0.6666666666666666,0.9974358974358974,0.11538461538461539,0.6526845637583892,0.7890466531440162,0.8884067499452115
0.013041036943413018,0.012563152773938673,0.625,1.0,0.0,0.625,0.7692307692307693,0.889469647161955
1000.0,0.0017255116699245567,0.7403846153846154,0.9769230769230769,0.34615384615384615,0.7134831460674157,0.8246753246753247,0.886675432829279
27.799328560853453,1.0,0.655448717948718,0.9974358974358974,0.08547008547008547,0.6451077943615257,0.783484390735146,0.8908010081087004
240.92965149070744,0.18271595734711743,0.7596153846153846,0.9871794871794872,0.3803418803418803,0.7264150943396226,0.8369565217391305,0.893852728468113
242.85647817796468,0.9307273380777774,0.6634615384615384,0.9948717948717949,0.1111111111111111,0.6510067114093959,0.7870182555780934,0.893293885601578
64.48309228089663,0.00827842946565161,0.7403846153846154,0.982051282051282,0.33760683760683763,0.7118959107806692,0.8254310344827587,0.8949156256848565
8.05264028088458,0.03528644291825821,0.75,0.9897435897435898,0.3504273504273504,0.7174721189591078,0.8318965517241379,0.9000328731097962
1000.0,0.00029541449813642114,0.7564102564102564,0.9871794871794872,0.3717948717948718,0.7236842105263158,0.8351409978308026,0.8985097523559062
1000.0,0.08685901631305282,0.7516025641025641,0.982051282051282,0.36752136752136755,0.7212806026365348,0.8317046688382194,0.8968551391628314
85.79565790066357,0.0636743344033981,0.7564102564102564,0.9846153846153847,0.37606837606837606,0.7245283018867924,0.8347826086956521,0.8972934472934473
1000.0,0.0001,0.7467948717948718,0.9897435897435898,0.3418803418803419,0.7148148148148148,0.8301075268817204,0.9051282051282051
