C,Gamma,Accuracy,Recall,Specificity,Precision,F1-Score,AUC
96.09812947036423,0.0005416754583247456,0.625,1.0,0.0,0.625,0.7692307692307693,0.8427898312513697
79.15074397656232,0.024400607090817546,0.6394230769230769,0.9717948717948718,0.08547008547008547,0.6391231028667791,0.7711088504577823,0.8440499671268903
1.6949768237884748,0.0002511306167739,0.625,1.0,0.0,0.625,0.7692307692307693,0.8383738768354152
1.9780827689353788,0.0021618942406574446,0.625,1.0,0.0,0.625,0.7692307692307693,0.8482577251808021
0.051800516442430215,0.04013783023846255,0.625,1.0,0.0,0.625,0.7692307692307693,0.8555226824457595
0.01914511128571072,0.07726718477963435,0.625,1.0,0.0,0.625,0.7692307692307693,0.8522463291694062
492.9053648241689,0.00010071984838809192,0.625,1.0,0.0,0.625,0.7692307692307693,0.8429870699101468
914.2349009056949,0.029507066707905337,0.7660256410256411,0.9538461538461539,0.452991452991453,0.744,0.8359550561797753,0.8801884724961649
11.435780278433413,0.00010672476836323717,0.625,1.0,0.0,0.625,0.7692307692307693,0.8431076046460662
0.013041036943413018,0.012563152773938673,0.625,1.0,0.0,0.625,0.7692307692307693,0.8408064869603331
1000.0,0.32672145685207327,0.7708333333333334,0.9538461538461539,0.4658119658119658,0.7484909456740443,0.8387824126268321,0.8861385053692746
646.8823369264218,0.16983079152816513,0.7740384615384616,0.9564102564102565,0.4700854700854701,0.7505030181086519,0.8410372040586246,0.8839250493096648
465.2403019798609,1.0,0.7788461538461539,0.958974358974359,0.47863247863247865,0.7540322580645161,0.8442437923250564,0.8885492000876616
242.43924693069278,1.0,0.780448717948718,0.958974358974359,0.4829059829059829,0.7555555555555555,0.8451977401129943,0.889973701512163
4.165574581001211,1.0,0.7307692307692307,0.9461538461538461,0.3717948717948718,0.7151162790697675,0.8145695364238411,0.8684253780407627
41.304306883631135,1.0,0.7900641025641025,0.9564102564102565,0.5128205128205128,0.7659137577002053,0.8506271379703535,0.893743151435459
0.01,0.0001,0.625,1.0,0.0,0.625,0.7692307692307693,0.8397655051501206
85.7653908223939,1.0,0.7836538461538461,0.9564102564102565,0.49572649572649574,0.7596741344195519,0.8467650397275823,0.8929158448389217
0.17185743656155136,0.97893197485946,0.625,1.0,0.0,0.625,0.7692307692307693,0.8505478851632697
984.0288631584192,0.0023870242760584953,0.6650641025641025,0.9538461538461539,0.18376068376068377,0.6607460035523979,0.7806925498426023,0.8455566513258821
