n_neighbors,Accuracy,Recall,Specificity,Precision,F1-Score,AUC
24,0.7836538461538461,0.958974358974359,0.49145299145299143,0.7586206896551724,0.8471121177802945,0.9091277668200745
6,0.7996794871794872,0.9333333333333333,0.5769230769230769,0.7861771058315334,0.8534583821805393,0.8535557747096207
24,0.7836538461538461,0.958974358974359,0.49145299145299143,0.7586206896551724,0.8471121177802945,0.9091277668200745
18,0.7884615384615384,0.9564102564102565,0.5085470085470085,0.764344262295082,0.8496583143507973,0.8988549200087662
14,0.7964743589743589,0.9461538461538461,0.5470085470085471,0.7768421052631579,0.8531791907514451,0.8924063116370811
4,0.8092948717948718,0.9358974358974359,0.5982905982905983,0.7952069716775599,0.8598351001177856,0.8452772298926147
14,0.7964743589743589,0.9461538461538461,0.5470085470085471,0.7768421052631579,0.8531791907514451,0.8924063116370811
11,0.782051282051282,0.958974358974359,0.48717948717948717,0.757085020242915,0.8461538461538461,0.8878972167433705
5,0.7900641025641025,0.9512820512820512,0.5213675213675214,0.7681159420289855,0.849942726231386,0.8493261012491782
20,0.7852564102564102,0.9564102564102565,0.5,0.7612244897959184,0.8477272727272728,0.905456936226167
3,0.7724358974358975,0.9435897435897436,0.48717948717948717,0.7540983606557377,0.8382687927107062,0.8285776901161516
7,0.7964743589743589,0.9564102564102565,0.5299145299145299,0.772256728778468,0.854524627720504,0.8625684856454087
8,0.8012820512820513,0.9435897435897436,0.5641025641025641,0.7829787234042553,0.8558139534883721,0.8685952224413763
9,0.780448717948718,0.958974358974359,0.4829059829059829,0.7555555555555555,0.8451977401129943,0.8734933158010081
15,0.782051282051282,0.9615384615384616,0.4829059829059829,0.7560483870967742,0.8465011286681715,0.8929541968003506
13,0.7836538461538461,0.958974358974359,0.49145299145299143,0.7586206896551724,0.8471121177802945,0.8902257286872672
30,0.7724358974358975,0.9538461538461539,0.4700854700854701,0.75,0.8397291196388262,0.9099495945649791
17,0.780448717948718,0.958974358974359,0.4829059829059829,0.7555555555555555,0.8451977401129943,0.8971564760026298
27,0.7708333333333334,0.958974358974359,0.45726495726495725,0.7465069860279441,0.8395061728395061,0.9103933815472278
1,0.7852564102564102,0.9512820512820512,0.5085470085470085,0.7633744855967078,0.8470319634703196,0.7299145299145299
