n_neighbors,Accuracy,Recall,Specificity,Precision,F1-Score,AUC
24,0.7788461538461539,0.9256410256410257,0.5341880341880342,0.7680851063829788,0.8395348837209302,0.8451512163050624
6,0.7756410256410257,0.8923076923076924,0.5811965811965812,0.7802690582959642,0.8325358851674641,0.8126068376068376
24,0.7788461538461539,0.9256410256410257,0.5341880341880342,0.7680851063829788,0.8395348837209302,0.8451512163050624
18,0.7788461538461539,0.9153846153846154,0.5512820512820513,0.7727272727272727,0.8380281690140845,0.8386642559719483
14,0.7676282051282052,0.9230769230769231,0.5085470085470085,0.7578947368421053,0.8323699421965318,0.8367192636423407
4,0.782051282051282,0.8948717948717949,0.594017094017094,0.786036036036036,0.8369304556354916,0.8040762656147272
14,0.7676282051282052,0.9230769230769231,0.5085470085470085,0.7578947368421053,0.8323699421965318,0.8367192636423407
11,0.7708333333333334,0.941025641025641,0.48717948717948717,0.7535934291581109,0.8369441277080958,0.8330593907516984
5,0.780448717948718,0.9307692307692308,0.5299145299145299,0.7674418604651163,0.8412514484356894,0.8114179268025421
20,0.7740384615384616,0.9205128205128205,0.5299145299145299,0.7654584221748401,0.8358556461001164,0.8425432829278983
25,0.7692307692307693,0.9282051282051282,0.5042735042735043,0.7573221757322176,0.8341013824884793,0.8454744685513916
23,0.7660256410256411,0.9358974358974359,0.4829059829059829,0.7510288065843621,0.8333333333333334,0.8444554021477099
17,0.7724358974358975,0.9358974358974359,0.5,0.7572614107883817,0.8371559633027523,0.8370206004821389
19,0.7756410256410257,0.9307692307692308,0.5170940170940171,0.7626050420168067,0.8383371824480369,0.8418310322156476
16,0.7772435897435898,0.9256410256410257,0.5299145299145299,0.7664543524416136,0.8385598141695703,0.8343797939951786
10,0.7644230769230769,0.9076923076923077,0.5256410256410257,0.7612903225806451,0.8280701754385965,0.8274873986412449
12,0.7708333333333334,0.9153846153846154,0.5299145299145299,0.7644539614561028,0.8331388564760793,0.8352454525531449
3,0.7708333333333334,0.9307692307692308,0.5042735042735043,0.7578288100208769,0.8354430379746836,0.7846646942800789
30,0.7724358974358975,0.9230769230769231,0.5213675213675214,0.7627118644067796,0.8352668213457076,0.8460607056760903
1,0.7483974358974359,0.9102564102564102,0.47863247863247865,0.7442348008385744,0.8189158016147635,0.6944444444444444
