Radio,Número de Puntos,Accuracy,Recall,Specificity,Precision,F1-Score,AUC
4,11,0.7467948717948718,0.9435897435897436,0.4188034188034188,0.7301587301587301,0.8232662192393736,0.8599550734166119
4,18,0.7291666666666666,0.9358974358974359,0.38461538461538464,0.7170923379174853,0.8120133481646273,0.8279969318430856
3,10,0.7163461538461539,0.9435897435897436,0.33760683760683763,0.7036328871892925,0.8061336254107339,0.8079772079772081
3,13,0.7435897435897436,0.9487179487179487,0.4017094017094017,0.7254901960784313,0.8222222222222222,0.8254876177953102
2,18,0.6907051282051282,0.9230769230769231,0.3034188034188034,0.6883365200764818,0.7886089813800657,0.8003725619110236
1,20,0.7516025641025641,0.941025641025641,0.4358974358974359,0.7354709418837675,0.8256467941507312,0.8238987508218278
5,8,0.7772435897435898,0.9487179487179487,0.49145299145299143,0.7566462167689162,0.8418657565415245,0.9036817882971728
5,18,0.7371794871794872,0.9358974358974359,0.405982905982906,0.7242063492063492,0.8165548098434005,0.8617576156037694
3,8,0.7211538461538461,0.9307692307692308,0.3717948717948718,0.711764705882353,0.8066666666666666,0.8459894806048651
1,16,0.75,0.9333333333333333,0.4444444444444444,0.7368421052631579,0.8235294117647058,0.829750164365549
5,11,0.7676282051282052,0.9512820512820512,0.46153846153846156,0.7464788732394366,0.8365276211950394,0.8788790269559501
3,21,0.7227564102564102,0.941025641025641,0.358974358974359,0.7098646034816247,0.8092613009922822,0.8249397326320403
5,9,0.7756410256410257,0.9512820512820512,0.4829059829059829,0.7540650406504065,0.8412698412698413,0.8815033968880122
1,8,0.7419871794871795,0.9153846153846154,0.452991452991453,0.7360824742268042,0.816,0.8163762875301337
1,24,0.7483974358974359,0.9179487179487179,0.4658119658119658,0.7412008281573499,0.8201603665521191,0.8267915844838921
2,8,0.7163461538461539,0.9358974358974359,0.3504273504273504,0.7059961315280464,0.804851157662624,0.8268134998904231
5,24,0.7323717948717948,0.9333333333333333,0.3974358974358974,0.7207920792079208,0.8134078212290503,0.8601249178172254
4,24,0.7083333333333334,0.9256410256410257,0.34615384615384615,0.7023346303501945,0.7986725663716814,0.8288023230330921
4,8,0.7612179487179487,0.9564102564102565,0.4358974358974359,0.7386138613861386,0.8335195530726257,0.8847249616480386
2,24,0.717948717948718,0.9282051282051282,0.36752136752136755,0.7098039215686275,0.8044444444444444,0.8283694937541092
