Fold,Exactitud,Sensibilidad,Especificidad,Precisión,F1-Score,AUC
1,90.63992359121299,97.03989703989704,72.22222222222221,90.95295536791315,0.9389788293897883,0.9640831307497975
2,97.32569245463229,98.97039897039896,92.5925925925926,97.46514575411915,0.9821200510855683,0.9969278802612136
3,95.21988527724665,96.64948453608247,91.11111111111111,96.89922480620154,0.967741935483871,0.9893637838869798
4,93.02103250478011,95.10309278350515,87.03703703703704,95.47218628719276,0.9528728211749515,0.9712652730049637
5,92.16061185468452,95.4954954954955,82.5278810408922,94.04309252217998,0.9476372924648787,0.972473004071517
Test,72.43589743589743,98.46153846153847,29.059829059829063,69.81818181818183,0.8170212765957446,0.8855413105413105
