Radio,Número de Puntos,Accuracy,Recall,Specificity,Precision,F1-Score,AUC
4,11,0.7419871794871795,0.9692307692307692,0.36324786324786323,0.7172675521821632,0.8244274809160306,0.8482029366644751
4,18,0.7371794871794872,0.9666666666666667,0.3547008547008547,0.7140151515151515,0.8213507625272332,0.8463839579224196
3,10,0.7099358974358975,0.9435897435897436,0.32051282051282054,0.698292220113852,0.8026172300981461,0.8185349550734168
3,13,0.719551282051282,0.9487179487179487,0.33760683760683763,0.7047619047619048,0.8087431693989071,0.8341058514135439
2,18,0.7275641025641025,0.9487179487179487,0.358974358974359,0.7115384615384616,0.8131868131868132,0.8284407188253343
1,20,0.7355769230769231,0.9435897435897436,0.3888888888888889,0.7201565557729941,0.8168701442841287,0.832144422529038
5,8,0.7676282051282052,0.9512820512820512,0.46153846153846156,0.7464788732394366,0.8365276211950394,0.8825936883629192
5,18,0.7660256410256411,0.9666666666666667,0.43162393162393164,0.7392156862745098,0.8377777777777777,0.8700087661626125
3,8,0.7147435897435898,0.9384615384615385,0.3418803418803419,0.7038461538461539,0.8043956043956044,0.8449484987946526
1,16,0.7243589743589743,0.9461538461538461,0.3547008547008547,0.7096153846153846,0.810989010989011,0.8262436993206224
5,24,0.7532051282051282,0.9692307692307692,0.39316239316239315,0.7269230769230769,0.8307692307692308,0.8771641463949157
4,10,0.7291666666666666,0.9666666666666667,0.3333333333333333,0.7073170731707317,0.8169014084507042,0.8413269778654394
3,17,0.7227564102564102,0.9564102564102565,0.3333333333333333,0.7051039697542533,0.8117519042437432,0.8398367302213455
5,13,0.7451923076923077,0.9538461538461539,0.3974358974358974,0.7251461988304093,0.8239202657807309,0.8538187595879904
2,13,0.7259615384615384,0.9641025641025641,0.32905982905982906,0.7054409005628518,0.8147345612134345,0.8288571115494191
2,9,0.7211538461538461,0.9435897435897436,0.3504273504273504,0.7076923076923077,0.8087912087912088,0.8163982029366644
3,20,0.7083333333333334,0.9512820512820512,0.3034188034188034,0.6947565543071161,0.803030303030303,0.8379136532982687
2,12,0.7323717948717948,0.958974358974359,0.3547008547008547,0.7123809523809523,0.8174863387978142,0.8470578566732412
4,12,0.7275641025641025,0.9666666666666667,0.32905982905982906,0.7059925093632958,0.816017316017316,0.8589907955292572
3,19,0.7147435897435898,0.9435897435897436,0.3333333333333333,0.7022900763358778,0.8052516411378556,0.8313390313390313
