Orientations,Pixels per Cell,Accuracy,Recall,Specificity,Precision,F1-Score,AUC
8,8,0.7692307692307693,0.9564102564102565,0.45726495726495725,0.746,0.8382022471910112,0.8545584045584046
8,12,0.7628205128205128,0.9769230769230769,0.405982905982906,0.7326923076923076,0.8373626373626374,0.8318102125794433
6,7,0.7596153846153846,0.9666666666666667,0.41452991452991456,0.7334630350194552,0.834070796460177,0.8129739206662284
6,9,0.7564102564102564,0.9641025641025641,0.41025641025641024,0.7315175097276264,0.831858407079646,0.8341168091168092
5,13,0.7435897435897436,0.9871794871794872,0.33760683760683763,0.7129629629629629,0.8279569892473119,0.7980002191540653
4,13,0.7291666666666666,0.9846153846153847,0.3034188034188034,0.7020109689213894,0.8196371398078975,0.8080100810870042
9,6,0.7900641025641025,0.9512820512820512,0.5213675213675214,0.7681159420289855,0.849942726231386,0.8493261012491782
9,12,0.7708333333333334,0.9897435897435898,0.405982905982906,0.7352380952380952,0.8437158469945355,0.8276462853385931
7,6,0.7724358974358975,0.9615384615384616,0.45726495726495725,0.7470119521912351,0.8408071748878924,0.8329224194608811
4,11,0.7147435897435898,0.9717948717948718,0.2863247863247863,0.6941391941391941,0.8098290598290598,0.7917488494411571
9,16,0.7740384615384616,0.9769230769230769,0.4358974358974359,0.7426900584795322,0.8438538205980066,0.8672748191978962
8,7,0.7724358974358975,0.9666666666666667,0.44871794871794873,0.7450592885375494,0.8415178571428571,0.8445375849222003
7,16,0.7644230769230769,0.9641025641025641,0.43162393162393164,0.7387033398821218,0.8364849833147943,0.8474687705456936
7,14,0.7676282051282052,0.9769230769230769,0.4188034188034188,0.7369439071566731,0.8401323042998897,0.8329169406092484
6,9,0.7564102564102564,0.9641025641025641,0.41025641025641024,0.7315175097276264,0.831858407079646,0.8341168091168092
9,7,0.7676282051282052,0.9538461538461539,0.45726495726495725,0.7454909819639278,0.8368953880764904,0.8555007670392286
9,14,0.7756410256410257,0.9769230769230769,0.44017094017094016,0.744140625,0.844789356984479,0.8587606837606837
4,16,0.7708333333333334,0.9615384615384616,0.452991452991453,0.7455268389662028,0.8398656215005599,0.8300076703922858
8,6,0.7836538461538461,0.9615384615384616,0.48717948717948717,0.7575757575757576,0.847457627118644,0.8496712689020381
9,10,0.7708333333333334,0.9692307692307692,0.44017094017094016,0.7426326129666012,0.8409343715239155,0.8268628095551172
