Radio,Número de Puntos,Accuracy,Recall,Specificity,Precision,F1-Score,AUC
4,11,0.7387820512820513,0.9205128205128205,0.4358974358974359,0.7311608961303462,0.8149829738933031,0.7914475126013587
4,18,0.7211538461538461,0.9205128205128205,0.3888888888888889,0.7151394422310757,0.804932735426009,0.7875575279421434
3,10,0.7355769230769231,0.9076923076923077,0.44871794871794873,0.7329192546583851,0.8109965635738832,0.776758711374096
3,13,0.7451923076923077,0.9307692307692308,0.4358974358974359,0.7333333333333333,0.8203389830508474,0.7952005259697567
2,18,0.7355769230769231,0.9128205128205128,0.44017094017094016,0.731006160164271,0.8118586088939567,0.7634944115713347
1,20,0.7355769230769231,0.9179487179487179,0.43162393162393164,0.7291242362525459,0.8127128263337117,0.7699101468332238
5,8,0.780448717948718,0.9230769230769231,0.5427350427350427,0.7708779443254818,0.8401400233372228,0.8297666009204471
5,18,0.7628205128205128,0.9282051282051282,0.48717948717948717,0.7510373443983402,0.8302752293577982,0.8153133903133902
3,8,0.7419871794871795,0.9307692307692308,0.42735042735042733,0.7303822937625755,0.818489289740699,0.7915461319307474
1,16,0.7227564102564102,0.9179487179487179,0.3974358974358974,0.717434869739479,0.8053993250843644,0.7632807363576595
5,24,0.7660256410256411,0.9435897435897436,0.4700854700854701,0.7479674796747967,0.8344671201814059,0.8341880341880341
4,10,0.7532051282051282,0.9512820512820512,0.4230769230769231,0.733201581027668,0.828125,0.7891737891737892
3,17,0.7355769230769231,0.9205128205128205,0.42735042735042733,0.7281947261663286,0.8131370328425821,0.8013861494630725
2,17,0.7483974358974359,0.9384615384615385,0.43162393162393164,0.7334669338677354,0.8233970753655793,0.7734714003944774
3,17,0.7355769230769231,0.9205128205128205,0.42735042735042733,0.7281947261663286,0.8131370328425821,0.8013861494630725
5,9,0.780448717948718,0.9307692307692308,0.5299145299145299,0.7674418604651163,0.8412514484356894,0.8114179268025421
5,10,0.7548076923076923,0.9384615384615385,0.44871794871794873,0.7393939393939394,0.8271186440677966,0.7984714003944773
5,23,0.7483974358974359,0.9256410256410257,0.452991452991453,0.7382413087934561,0.8213879408418657,0.7965483234714004
4,9,0.7419871794871795,0.9307692307692308,0.42735042735042733,0.7303822937625755,0.818489289740699,0.7793721236028928
5,17,0.7564102564102564,0.9333333333333333,0.46153846153846156,0.7428571428571429,0.8272727272727273,0.819833442910366
